name,path,owner,author,hname,capo
Piano_Man,songs/Piano_Man.tex,T,Billy Joel,Piano Man,0
Pocity,songs/Pocity.tex,T,Tomáš Klus,Pocity,0
Pohoda,songs/Pohoda.tex,T,Kabát,Pohoda,0
Pompeii,songs/Pompeii.tex,T,Bastille,Pompeii,2
Proklínám,songs/Proklínám.tex,T,Janek Ledecký,Proklínám,0
Proměny,songs/Proměny.tex,T,Čechomor,Proměny,0
Radioactive,songs/Radioactive.tex,T,Imagine Dragons,,0
Ráda_Se_Miluje,songs/Ráda_Se_Miluje.tex,T,Karel Plíhal,Ráda Se Miluje,0
Ring-O-Ding,songs/Ring-O-Ding.tex,T,Marta Kubišová,Ring-O-Ding,0
Riptide,songs/Riptide.tex,T,Vance Joy,Riptide,1
Sametová,songs/Sametová.tex,T,Žlutý Pes,,0
Sáro,songs/Sáro.tex,T,Traband,Sáro,0
Sbírka_Zvadlejch_Růží,songs/Sbírka_Zvadlejch_Růží.tex,T,Wanastowi vjecy,Sbírka Zvadlejch Růží,0
Sbohem_Galánečko,songs/Sbohem_Galánečko.tex,T,Vlasta Redl,Sbohem Galánečko,0
Sen,songs/Sen.tex,T,Lucie,,0
Slzy_Tvý_Mámy,songs/Slzy_Tvý_Mámy.tex,T,Olympic,Slzy Tvý Mámy,0
Srdce_Jako_Knize_Rohan,songs/Srdce_Jako_Knize_Rohan.tex,T,Richard Müller,Srdce Jako Knize Rohan,0
Starý_Muž,songs/Starý_Muž.tex,T,Jaromír Nohavica,Starý Muž,0
Svaz_Českých_Bohémů,songs/Svaz_Českých_Bohémů.tex,T,Wohnout,Svaz Českých Bohémů,1
Šaman,songs/Šaman.tex,T,Kabát,Šaman,0
Šrouby_A_Matice,songs/Šrouby_A_Matice.tex,T,Mandrage,Šrouby A Matice,2
Šrouby_Do_Hlavy,songs/Šrouby_Do_Hlavy.tex,T,Lucie,,0
Šťastnej_Chlap,songs/Šťastnej_Chlap.tex,T,Lucie,,0
Těšínská,songs/Těšínská.tex,T,Jaromír Nohavica,Těšínská,0
Thinking_Out_Loud,songs/Thinking_Out_Loud.tex,T,Ed Sheeran,Thinking Out Loud,2
This_Is_The_Life,songs/This_Is_The_Life.tex,T,Amy Macdonald,This Is The Life,4
Touha,songs/Touha.tex,T,Daniel Landa,Touha,0
Toulavej,songs/Toulavej.tex,T,Vojta Kiďák Tomáško,Toulavej,0
Tři_Kříže,songs/Tři_Kříže.tex,T,Hop Trop,Tři Kříže,0
Ulica,songs/Ulica.tex,T,Elán (Slovakia,Ulica,0
Umbrella,songs/Umbrella.tex,T,Rihanna,Umbrella,1
Untitled,songs/Untitled.tex,T,Simple Plan,Untitled,0
Včelín,songs/Včelín.tex,T,Čechomor,Včelín,0
"Veď_mě_dál,_cesto_má","songs/Veď_mě_dál,_cesto_má.tex",T,Pavel Bobek,"Veď mě dál, cesto má",0
Viva_La_Vida,songs/Viva_La_Vida.tex,T,Coldplay,Viva La Vida,1
Voda_Živá,songs/Voda_Živá.tex,T,Aneta Langerová,,0
Vymlácený_Entry,songs/Vymlácený_Entry.tex,T,Pokáč,Vymlácený Entry,4
Vymyslená,songs/Vymyslená.tex,T,Elán,Vymyslená,0
V_7_25,songs/V_7_25.tex,T,Michal Horák,V 7 25,0
V_Blbým_Věku,songs/V_Blbým_Věku.tex,T,Xindl X,V Blbým Věku,0
V_Lese,songs/V_Lese.tex,T,Pokáč,V Lese,0
When_All_Is_Said_And_Done,songs/When_All_Is_Said_And_Done.tex,T,ABBA,When All Is Said And Done,0
When_Youre_Gone,songs/When_Youre_Gone.tex,T,Bryan Adams,When Youre Gone,0
With_Or_Without_You,songs/With_Or_Without_You.tex,T,U2,With Or Without You,0
Wonderwall,songs/Wonderwall.tex,T,Oasis,Wonderwall,2
Zalůbení,songs/Zalůbení.tex,T,Elán,Zalůbení,0
Zanedbaný_Sex,songs/Zanedbaný_Sex.tex,T,Elán (Slovakia,Zanedbaný Sex,1
Zejtra_Mám,songs/Zejtra_Mám.tex,T,Ready Kirken,Zejtra Mám,0
Země_Vzdálená,songs/Země_Vzdálená.tex,T,BSP,,0
Zombie,songs/Zombie.tex,T,The Cranberries,Zombie,0
Better_Together,songs/ŽŽ_DomcaSongs/Better_Together.tex,D,Jack Johnson,Better Together,4
Bosorka,songs/ŽŽ_DomcaSongs/Bosorka.tex,D,Elán,Bosorka,0
Brandy_Youre_A_Fine_Girl,songs/ŽŽ_DomcaSongs/Brandy_Youre_A_Fine_Girl.tex,D,Looking Glass,Brandy Youre A Fine Girl,0
Let_My_Love_Open_The_Door,songs/ŽŽ_DomcaSongs/Let_My_Love_Open_The_Door.tex,D,Pete Townshend,Let My Love Open The Door,0
Mandy,songs/ŽŽ_DomcaSongs/Mandy.tex,D,Barry Manilow,Mandy,0
Mmm_Mmm_Mmm_Mmm,songs/ŽŽ_DomcaSongs/Mmm_Mmm_Mmm_Mmm.tex,D,Crash Test Dummies,Mmm Mmm Mmm Mmm,3
Starý_Příběh,songs/ŽŽ_DomcaSongs/Starý_Příběh.tex,D,Spirituál kvintet,,0
Sweet_Child_O_Mine,songs/ŽŽ_DomcaSongs/Sweet_Child_O_Mine.tex,D,Guns N' Roses,Sweet Child O Mine,0
Take_It_Easy,songs/ŽŽ_DomcaSongs/Take_It_Easy.tex,D,Eagles,Take It Easy,0
The_Weight,songs/ŽŽ_DomcaSongs/The_Weight.tex,D,The Band,The Weight,0
Waiting_On_The_World_To_Change,songs/ŽŽ_DomcaSongs/Waiting_On_The_World_To_Change.tex,D,John Mayer,Waiting On The World To Change,0
House_Of_Memories,songs/ŽŽ_HonzikSongs/House_Of_Memories.tex,H,Panic! At the Disco,House Of Memories,0
Love_Again,songs/ŽŽ_HonzikSongs/Love_Again.tex,H,Dua Lipa,Love Again,2
Matfyzák_Na_Discu,songs/ŽŽ_HonzikSongs/Matfyzák_Na_Discu.tex,H,Pokáč,Matfyzák Na Discu,0
Sweater_Weather,songs/ŽŽ_HonzikSongs/Sweater_Weather.tex,H,The Neighbourhood,Sweater Weather,0
The_Islander,songs/ŽŽ_HonzikSongs/The_Islander.tex,H,Nightwish,,0
The_Middle,songs/ŽŽ_HonzikSongs/The_Middle.tex,H,Jimmy Eat World,The Middle,0
Shallow,songs/ŽŽ_KikiSongs/Shallow.tex,K,Misc Soundtrack,Shallow,0
Čarodějnice_Z_Amesbury,songs/ŽŽ_LuckaSongs/Čarodějnice_Z_Amesbury.tex,L,Asonance,Čarodějnice Z Amesbury,0
The_Saga_Begins,songs/ŽŽ_LuckaSongs/The_Saga_Begins.tex,L,"""Weird Al"" Yankovic",The Saga Begins,0
1_Plus_1,songs/ŽŽ_YbokemSongs/1_Plus_1.tex,Y,Ready Kirken,1 Plus 1,0
Ayo_Technology,songs/ŽŽ_YbokemSongs/Ayo_Technology.tex,Y,Milow,Ayo Technology,7
Breakfast_At_Tiffanys,songs/ŽŽ_YbokemSongs/Breakfast_At_Tiffanys.tex,Y,Deep Blue Something,Breakfast At Tiffanys,0
Cats_In_The_Cradle,songs/ŽŽ_YbokemSongs/Cats_In_The_Cradle.tex,Y,Harry Chapin,,0
Cesta_Z_Města,songs/ŽŽ_YbokemSongs/Cesta_Z_Města.tex,Y,Mirai,Cesta Z Města,0
Dont_Go_Breaking_My_Heart,songs/ŽŽ_YbokemSongs/Dont_Go_Breaking_My_Heart.tex,Y,Elton John,Dont Go Breaking My Heart,0
Jdevozem,songs/ŽŽ_YbokemSongs/Jdevozem.tex,Y,Tomáš Klus,Jdevozem,0
Not_Fair,songs/ŽŽ_YbokemSongs/Not_Fair.tex,Y,Lily Allen,Not Fair,0
Runaway_Train,songs/ŽŽ_YbokemSongs/Runaway_Train.tex,Y,Soul Asylum,Runaway Train,0
Stitches,songs/ŽŽ_YbokemSongs/Stitches.tex,Y,Shawn Mendes,Stitches,3
Waterloo,songs/ŽŽ_YbokemSongs/Waterloo.tex,Y,ABBA,Waterloo,2
